,input_queries
202,join student.stuid-has_pet.stuid
203,join student.stuid-has_pet.stuid
204,scan dogs
205,scan dogs
206,scan dogs order by weight desc limit 1
207,scan dogs
208,scan country order by population asc limit 3
209,scan country order by surfacearea desc limit 1
210,scan country
211,scan country order by population asc limit 3
212,scan friend
213,scan highschooler
214,scan highschooler
215,join students.student_id-student_enrolment.student_id join student_enrolment.degree_program_id-degree_programs.degree_program_id scan degree_programs.degree_summary_name
216,join students.student_id-student_enrolment.student_id join student_enrolment.degree_program_id-degree_programs.degree_program_id scan degree_programs.degree_summary_name
217,join students.student_id-student_enrolment.student_id join student_enrolment.degree_program_id-degree_programs.degree_program_id scan students.student_id
218,join students.student_id-student_enrolment.student_id join student_enrolment.degree_program_id-degree_programs.degree_program_id scan students.student_id
219,join students.student_id-student_enrolment.student_id join student_enrolment.degree_program_id-degree_programs.degree_program_id scan degree_programs.degree_summary_name
220,join students.student_id-student_enrolment.student_id join student_enrolment.degree_program_id-degree_programs.degree_program_id
221,join students.student_id-student_enrolment.student_id join student_enrolment.degree_program_id-degree_programs.degree_program_id scan degree_programs.degree_summary_name
222,join students.student_id-student_enrolment.student_id join student_enrolment.degree_program_id-degree_programs.degree_program_id scan degree_programs.degree_summary_name
223,scan car_names
224,scan car_names
225,scan car_names group by model order by count ( distinct make )  desc limit 1
226,join course_arrange.teacher_id-teacher.teacher_id
227,join course_arrange.teacher_id-teacher.name
228,scan performance
229,scan performance
230,scan players
231,scan players
232,scan players group by country_code having count ( * )  > 50
233,join country.code-city.countrycode scan city.name
234,join country.code-city.countrycode scan city.name
235,join country.code-city.countrycode scan city.name
236,scan matches group by year order by count ( * )  desc limit 1
237,scan matches group by year order by count ( * )  limit 1
238,scan matches group by year order by count ( * )  limit 1
239,scan matches
240,scan matches
241,join car_makers.id-car_makers.id
242,scan car_makers
243,scan car_makers
244,scan countrylanguage
245,scan countrylanguage
246,scan countrylanguage
247,scan visitor
248,scan visitor
249,scan visitor
250,scan visitor
251,scan visitor
252,scan visitor
253,scan countrylanguage
254,scan country
255,scan country
256,scan t1 scan t2
257,scan t1 scan t2
258,scan t1 scan t2
259,scan country
260,join ref_template_types.template_type_code-templates.template_type_code scan ref_template_types.template_type_description
261,join ref_template_types.template_type_code-templates.template_type_code scan ref_template_types.template_type_description
262,join ref_template_types.template_type_code-templates.template_type_code scan ref_template_types.template_type_description
263,scan transcript_contents group by student_course_id order by count ( * )  desc limit 1
264,scan transcript_contents group by student_course_id order by count ( * )  desc limit 1
265,scan transcript_contents group by student_course_id order by count ( * )  limit 1
266,scan transcript_contents group by student_course_id order by count ( * )  limit 1
267,scan transcript_contents
268,scan properties
269,scan properties
270,scan properties
271,scan properties
272,scan properties
273,scan airports
274,scan flights
275,scan flights
276,scan flights
277,scan flights
278,join car_makers.country-countries.country_id scan countries.country_name
279,join car_makers.country-countries.country_id scan countries.country_name
280,join car_makers.country-countries.country_id scan countries.country_name
281,join car_makers.country-countries.country_id scan countries.country_name
282,scan owners
283,scan owners
284,scan owners
285,scan employee
286,scan employee
287,scan employee
288,scan employee
289,scan employee
290,scan owners
291,scan dogs order by age asc limit 1
292,scan dogs order by age asc limit 1
293,join owners.owner_id-dogs.owner_id scan dogs.name
294,scan singer
295,scan singer
296,scan singer
297,scan singer
298,scan singer
299,scan singer
300,scan singer
301,scan battle
302,scan battle
303,scan ship
304,scan ship
305,scan battle
306,scan car_makers
307,scan model_list
308,scan poker_player order by earnings desc limit 1
309,scan poker_player
310,scan poker_player order by earnings desc limit 1
311,scan poker_player order by earnings desc limit 1
312,scan earning
313,scan poker_player order by earnings desc limit 1
314,scan orchestra
315,scan orchestra
316,scan orchestra
317,scan concert
318,scan concert
319,join stadium.stadium_id-concert.stadium_id scan concert.concert_name
320,join flights.airline-airlines.uid scan airlines.airline
321,join flights.airline-airlines.uid scan airlines.airline
322,join flights.airline-airlines.uid scan airlines.airline scan flights.destairport
323,join flights.airline-airlines.uid scan airlines.airline scan flights.destairport
324,scan student_enrolment
325,scan student_enrolment
326,scan semesters
327,scan t1 scan t2
328,scan country group by governmentform
329,scan country group by governmentform having avg ( lifeexpectancy )   >  72
330,scan country group by governmentform having avg ( lifeexpectancy )   >  72
331,scan tv_channel except select channel
332,scan tv_channel
333,scan cartoon
334,scan paragraphs
335,scan paragraphs group by document_id
336,scan paragraphs group by document_id order by document_id
337,scan owners
338,join owners.owner_id-dogs.owner_id join dogs.dog_id-treatments.dog_id
339,join owners.owner_id-dogs.owner_id
340,scan owners
341,join owners.owner_id-dogs.owner_id
342,scan flights
343,scan flights
344,join flights.destairport-airports.airportcode scan airports.city
345,join flights.destairport-airports.airportcode scan airports.city
346,scan flights group by destairport order by count ( * )  desc limit 1
347,join flights.destairport-airports.airportcode scan airports.city
348,join flights.sourceairport-airports.airportcode scan airports.city
349,scan country
350,scan country
351,scan country
352,scan country
353,scan country
354,scan professionals union select first_name
355,scan professionals
356,scan professionals
357,join car_makers.id-model_list.maker join model_list.model-car_names.model join car_names.makeid-cars_data.id scan cars_data.year
358,join car_makers.id-model_list.maker join model_list.model-car_names.model join car_names.makeid-cars_data.id scan cars_data.year
359,join car_makers.id-model_list.maker join model_list.model-car_names.model join car_names.makeid-cars_data.id scan cars_data.year
360,scan cartoon
361,scan cartoon
362,scan tv_channel except select series_name
363,scan tv_channel except select channel
364,scan shop
365,scan shop
366,scan shop
367,scan flights
368,scan t1 scan t2
369,scan flights
370,scan airports
371,scan airports
372,scan country
373,scan country
374,scan country
375,scan country
376,scan country
377,scan country
378,scan country
379,scan country
380,scan country
381,scan poker_player
382,scan poker_player order by earnings desc
383,scan poker_player order by earnings asc limit 1
384,scan poker_player order by earnings desc limit 1
385,scan documents
386,scan documents
387,scan templates except select template_id
388,scan templates except select template_id
389,join templates.template_id-documents.template_id
390,scan dogs
391,scan dogs
392,scan dogs
393,scan semesters
394,scan semesters
395,scan semesters
396,scan student
397,scan student order  by  age  limit 1
398,scan student
399,scan student
400,join tv_channel.id-cartoon.channel scan cartoon.written_by
401,scan cartoon
402,scan cartoon
403,scan countrylanguage
404,scan country
405,scan country
406,scan players group by country_code having count ( * )   >  50
407,scan players group by country_code having count ( * )   <  40
408,scan players
409,scan players
410,scan players
411,scan players
412,scan shop
413,scan shop
414,scan shop
415,scan t1 scan t2
416,join breeds.breed_code-dogs.breed_code scan breeds.breed_name
417,scan t1 scan t2
418,scan breeds
419,scan t1 scan t2
420,join student.stuid-has_pet.stuid join pets.petid-has_pet.petid scan pets.pettype
421,join student.stuid-has_pet.stuid join pets.petid-has_pet.petid scan pets.pettype
422,join student.stuid-has_pet.stuid join pets.petid-has_pet.petid
423,join student.stuid-has_pet.stuid join pets.petid-has_pet.petid scan student.fname
424,scan visitor
425,scan visitor
426,scan visitor
427,scan visitor
428,scan t1 scan t2
429,scan t1 scan t2
430,scan students
431,scan students
432,join owners.owner_id-dogs.owner_id scan owners.state
433,join owners.owner_id-dogs.owner_id scan owners.state
434,join owners.owner_id-dogs.owner_id scan owners.state
435,join owners.owner_id-dogs.owner_id scan dogs.name
436,join owners.owner_id-dogs.owner_id scan dogs.name
437,scan orchestra
438,scan orchestra
439,scan orchestra group by conductor_id having count ( orchestra ) >1
440,scan orchestra order by year_of_founded
441,scan orchestra
442,scan orchestra group by record_company order by count ( * )  desc limit 1
443,join flights.airline-airlines.uid scan airlines.airline scan flights.destairport
444,scan airlines
445,scan flights
446,scan car_names
447,join cars_data.id-car_names.makeid scan car_names.model
448,join cars_data.id-car_names.makeid scan car_names.model
449,scan highschooler
450,scan friend
451,join friend.student_id-highschooler.id
452,join degree_programs.degree_program_id-student_enrolment.degree_program_id
453,join degree_programs.degree_program_id-student_enrolment.degree_program_id scan student_enrolment.student_id
454,scan t1 scan t2
455,scan t1 scan t2
456,scan employee
457,scan employee
458,scan people
459,scan people
460,scan players
461,scan players
462,scan players
463,scan players
464,join car_names.model-model_list.model join model_list.maker-car_makers.id join car_names.makeid-cars_data.id scan car_makers.fullname
465,join car_names.model-model_list.model join model_list.maker-car_makers.id join car_names.makeid-cars_data.id scan cars_data.weight
466,join car_names.model-model_list.model join model_list.maker-car_makers.id join car_names.makeid-cars_data.id scan car_makers.fullname
467,scan people
468,scan people
469,scan people
470,scan people group by nationality having count ( * )    >=    2
471,scan country
472,scan country
473,scan dogs
474,scan dogs
475,scan visitor
476,join visitor.id-visit.visitor_id
477,join visitor.id-visit.visitor_id
478,scan t1 scan t2
479,scan matches order by winner_age limit 3
480,scan matches order by winner_age limit 3
481,scan professionals
482,scan professionals
483,scan professionals
484,scan professionals
485,scan professionals
486,scan professionals
487,scan death
488,scan death
489,scan death
490,scan death
491,join death.caused_by_ship_id-ship.id scan ship.tonnage
492,join death.caused_by_ship_id-ship.id scan ship.tonnage
493,join death.caused_by_ship_id-ship.id scan ship.tonnage
494,join continents.contid-countries.continent join countries.country_id-continents.continent
495,join countries.country_id-car_makers.country scan countries.country_name
496,join countries.country_id-car_makers.country scan countries.country_name
497,join countries.country_id-car_makers.country scan countries.country_name
498,scan country
499,scan city
500,join country.code-city.countrycode scan city.name
501,join country.code-city.countrycode scan country.region
502,join templates.template_id-documents.template_id scan templates.template_type_code
503,join templates.template_id-documents.template_id scan templates.template_type_code
504,scan professionals
505,scan professionals
506,scan templates
507,scan templates
508,scan templates
509,scan templates
510,scan singer
511,scan singer
512,scan singer
513,join cars_data.id-car_names.makeid scan car_names.make
514,scan t1 scan t2
515,scan t1 scan t2
516,scan templates
517,scan templates except select template_id
518,scan templates
519,scan templates
520,scan templates
521,scan templates except select template_id
522,join singer_in_concert.concert_id-concert.concert_id
523,scan concert
524,scan concert
525,scan country
526,scan countrylanguage
527,scan country
528,scan country
529,scan country
530,scan singer order by song_release_year
531,scan singer
532,join conductor.conductor_id-orchestra.conductor_id
533,scan conductor
534,scan conductor
535,scan students
536,scan students
537,scan students
538,scan student_enrolment
539,join templates.template_id-documents.template_id
540,join ref_template_types.template_type_code-templates.template_type_code join templates.template_id-documents.template_id
541,join ref_template_types.template_type_code-templates.template_type_code join templates.template_id-documents.template_id
542,scan country order by surfacearea desc limit 1
543,scan country order by surfacearea desc limit 1
544,scan country order by surfacearea desc limit 1
545,scan country order by surfacearea desc limit 1
546,join people.people_id-poker_player.people_id scan poker_player.earnings
547,scan poker_player
548,join students.current_address_id-addresses.address_id scan addresses.state_province_county
549,join students.current_address_id-addresses.address_id scan addresses.state_province_county
550,scan area_code_state
551,join contestants.contestant_number-votes.contestant_number join votes.state-area_code_state.state scan contestants.contestant_name
552,join contestants.contestant_number-votes.contestant_number join votes.state-area_code_state.state scan contestants.contestant_name
553,join contestants.contestant_number-votes.contestant_number join votes.state-area_code_state.state scan contestants.contestant_name
554,scan shop
555,scan shop
556,scan shop
557,scan shop
558,scan departments
559,join degree_programs.department_id-degree_programs.department_id
560,join departments.department_id-degree_programs.department_id scan departments.department_name
561,scan professionals
562,scan professionals
563,scan professionals except select t1.professional_id scan t1.role_code scan t1.email_address
564,join car_makers.id-model_list.maker scan car_makers.fullname
565,join car_makers.id-model_list.maker scan car_makers.maker
566,join car_makers.id-model_list.maker scan car_makers.id
567,join car_makers.id-model_list.maker scan car_makers.fullname
568,join course_arrange.course_id-course.course_id join course_arrange.teacher_id-teacher.teacher_id
569,join course_arrange.course_id-course.course_id join course_arrange.teacher_id-teacher.name
570,join course_arrange.course_id-course.course_id join course_arrange.teacher_id-teacher.name
571,scan country
572,scan country
573,scan country
574,scan tv_channel
575,scan tv_channel
576,scan tv_channel
577,scan tv_channel
578,scan tv_channel group by language order by count ( * )  asc limit 1
579,scan tv_channel group by language order by count ( * )  desc limit 1
580,scan tv_channel group by content order by count ( * )  desc limit 1
581,scan tv_channel group by content order by count ( * )  limit 1
582,scan tv_channel
583,scan professionals union select first_name
584,scan professionals union select first_name
585,scan professionals union select first_name
586,join has_pet.stuid-student.stuid
587,join student.stuid-has_pet.stuid join pets.petid-has_pet.petid scan pets.pettype
588,join student.stuid-has_pet.stuid join pets.petid-has_pet.petid scan pets.pet_age scan pets.pettype
589,scan orchestra
590,scan orchestra order by orchestra
591,scan orchestra group by major_record_format order by count ( * )  asc
592,scan museum
593,scan museum.museum_id
594,scan museum
595,scan t1 scan t2
596,scan t1 scan t2
597,scan visitor
598,join visitor.id-visit.visitor_id scan visit.total_spent
599,scan country
600,scan country group by governmentform having avg ( lifeexpectancy )   >  72
601,scan country group by governmentform having avg ( lifeexpectancy )   >  72
602,scan country group by governmentform having avg ( lifeexpectancy )   >  72
603,scan country group by governmentform having avg ( lifeexpectancy )   >  72
604,scan visitor
605,scan visitor
606,scan visitor
607,scan t1 scan t2
608,scan t1 scan t2
609,scan airlines
610,scan airlines
611,scan t1
612,join battle.id-ship.lost_in_battle
613,join battle.id-ship.lost_in_battle
614,scan pets
615,scan pets
616,scan pets
617,scan pets group by pettype
618,scan pets
619,scan car_makers
620,join countries.country_id-car_makers.country join car_makers.id-model_list.maker scan countries.country_name
621,scan model_list
622,scan t1 scan t2
623,scan t1 scan t2
624,scan paragraphs group by document_id having count ( * )  between 1 and 2
625,scan paragraphs group by paragraph_text having count ( * )  between 1 and 2
626,scan teacher order by age asc limit 1
627,scan teacher order by age asc limit 1
628,scan teacher
629,scan teacher
630,scan teacher
631,join student.stuid-has_pet.stuid join has_pet.petid-pets.petid scan student.sex scan pets.pettype
632,scan student
633,scan student
634,join student.stuid-has_pet.stuid join has_pet.petid-pets.petid scan student.sex
635,scan cars_data order by horsepower limit 1
636,scan transcripts order by transcript_date desc limit 1
637,scan transcripts
638,join transcript_contents.transcript_id-transcript_contents.transcript_id
639,join transcript_contents.transcript_id-transcript_contents.transcript_id
640,join transcript_contents.transcript_id-transcript_contents.transcript_id
641,scan friend
642,scan professionals
643,scan professionals
644,scan professionals
645,join semesters.semester_id-semesters.semester_name
646,scan t1 scan t2
647,scan student_enrolment
648,scan semesters
649,scan flights
650,scan flights
651,join airlines.uid-flights.airline scan flights.sourceairport
652,join tv_channel.id-tv_series.channel scan tv_series.episode
653,scan tv_series
654,scan tv_series
655,scan tv_series
656,scan players order by birth_date desc limit 1
657,scan players order by birth_date limit 1
658,scan players order by birth_date limit 1
659,scan t1 scan t2
660,join course_arrange.teacher_id-teacher.name
661,scan t1 scan t2
662,scan visit
663,scan visit
664,scan visit
665,scan ship
666,scan ship
667,scan singer order by age limit 1
668,scan singer
669,scan singer
670,scan country
671,scan country
672,scan singer
673,scan departments
674,scan departments
675,scan departments
676,scan departments
677,scan departments
678,scan cars_data
679,scan cars_data order by weight desc limit 1
680,scan cars_data
681,scan cars_data order by accelerate desc limit 1
682,scan t1 order by t1.accelerate desc limit 1
683,scan singer
684,scan singer
685,scan singer
686,join car_names.model-model_list.model join model_list.maker-car_makers.id join car_names.makeid-cars_data.id scan car_makers.fullname
687,join car_names.model-model_list.model join model_list.maker-car_makers.id join car_names.makeid-cars_data.id scan cars_data.weight
688,scan highschooler
689,scan highschooler
690,scan highschooler order by grade desc limit 1
691,scan highschooler order by grade limit 1
692,join countries.country_id-car_makers.country
693,scan countries except select t1.country_name
694,scan friend
695,scan highschooler
696,scan highschooler
697,scan highschooler
698,scan friend
699,scan highschooler except select friend_id
700,scan highschooler
701,scan employee
702,scan employee
703,scan employee
704,scan student
705,join student.stuid-has_pet.stuid scan student.age
706,scan matches
707,scan matches
708,scan matches
709,scan matches group by winner_name scan winner_rank_points order by count ( * )  desc limit 1
710,scan highschooler
711,scan likes  group by student_id order by  count ( * )  desc limit  1
712,scan other_available_features
713,scan other_available_features
714,scan transcripts group by transcript_date order by count ( * )  asc limit 1
715,scan transcripts
716,scan transcripts group by transcript_date order by count ( * )  desc limit 1
717,join airlines.uid-flights.airline scan airlines.airline
718,join airlines.uid-flights.airline scan flights.sourceairport
719,join airlines.uid-flights.airline scan airlines.airline
720,join model_list.maker-car_makers.id join car_makers.country-countries.country_id scan countries.country_name
721,join car_makers.country-countries.country_id scan countries.country_name
722,join model_list.maker-car_makers.id scan car_makers.maker
723,scan flights
724,scan airlines
725,scan flights
726,scan airlines
727,scan airlines
728,scan highschooler
729,scan highschooler
730,scan highschooler
731,join people.people_id-poker_player.final_table_made
732,join people.people_id-poker_player.final_table_made
733,scan t1 scan t2
734,scan t1 scan t2
735,scan t1 scan t2
736,scan transcripts
737,scan transcripts order by transcript_date desc limit 1
738,scan transcripts order by transcript_date desc limit 1
739,scan cartoon order by original_air_date limit 1
740,scan cartoon order by original_air_date limit 1
741,scan cartoon order by original_air_date desc limit 1
742,scan templates
743,join templates.template_id-documents.template_id scan templates.template_id
744,scan templates except select template_type_code
745,scan templates
746,scan flights
747,scan flights
748,join airlines.uid-flights.airline scan flights.sourceairport
749,scan stadium
750,scan stadium order by average limit 1
751,scan stadium order by average desc limit 1
752,scan country
753,scan country
754,scan country
755,scan dogs
756,scan employee
757,scan employee
758,scan t1 scan t2
759,scan t1 scan t2
760,scan student_enrolment
761,scan degree_programs
762,scan t1 scan t2
763,scan student_enrolment
764,scan treatments
765,scan t1 scan t2
766,scan treatments order by cost_of_treatment asc limit 1
767,scan continents
768,join continents.contid-continents.contid
769,scan t1 scan t2
770,join paragraphs.document_id-paragraphs.document_id
771,scan paragraphs
772,scan cartoon
773,scan cartoon
774,join tv_channel.id-cartoon.channel scan cartoon.written_by
775,join visitor.id-visit.visitor_id scan visitor.level_of_membership
776,scan visitor
777,scan visitor
778,scan visitor
779,scan t1 scan t2
780,scan players
781,scan players
782,scan players
783,scan players
784,join paragraphs.document_id-documents.document_id scan documents.document_name
785,join paragraphs.document_id-documents.document_id scan documents.document_name
786,join paragraphs.document_id-documents.document_id scan documents.document_name
787,join players.player_id-players.first_name
788,join players.player_id-rankings.player_id scan rankings.ranking
789,join players.player_id-rankings.player_id scan rankings.ranking
790,scan country
791,scan country
792,scan country
793,scan country
794,scan country
795,scan country
796,scan visitor
797,scan visitor
798,scan visitor
799,scan visitor
800,join players.player_id-players.player_id
801,join players.player_id-players.player_id
802,scan players.hand
803,scan players.hand
804,join players.player_id-rankings.player_id join players.hand-players.last_name
805,scan highschooler
806,scan highschooler
807,scan highschooler
808,scan highschooler
809,scan highschooler
810,scan highschooler
811,scan highschooler
812,scan highschooler
813,scan highschooler
814,join likes.student_id-highschooler.id scan highschooler.name
815,scan stadium
816,scan stadium order by highest desc limit 1
817,scan stadium order by highest desc limit 1
818,scan singer group by citizenship order by count ( * )  desc limit 1
819,scan singer group by citizenship order by count ( * )  asc limit 1
820,scan singer
821,scan people
822,scan people
823,scan poker_player
824,scan t1 scan t2
825,scan t1 scan t2
826,scan degree_programs
827,scan degree_programs
828,join students.student_id-student_enrolment.student_id scan students.first_name
829,scan students
830,scan students
831,scan pets
832,scan pets
833,scan pets
834,scan pets
835,join students.current_address_id-addresses.address_id scan addresses.state_province_county
836,join students.current_address_id-addresses.address_id scan addresses.state_province_county
837,join students.current_address_id-addresses.address_id scan addresses.country
838,scan matches order by minutes desc limit 1
839,scan matches order by minutes desc limit 1
840,scan car_names
841,join model_list.model-car_names.model join car_names.makeid-cars_data.id scan cars_data.year
842,scan highschooler group by grade order by count ( * )  desc limit 1
843,scan highschooler
844,scan highschooler
845,scan highschooler
846,scan highschooler
847,scan highschooler
848,scan highschooler
849,join owners.owner_id-dogs.owner_id scan owners.owner_id
850,join owners.owner_id-dogs.owner_id scan owners.state
851,scan t1 scan t2
852,scan courses
853,join courses.course_id-student_enrolment_courses.course_id join courses.course_id-courses.course_name
854,scan countrylanguage
855,scan countrylanguage
856,scan highschooler
857,join friend.student_id-highschooler.id join friend.friend_id-highschooler.id scan highschooler.name
858,scan highschooler
859,scan highschooler
860,join friend.student_id-highschooler.id join friend.friend_id-highschooler.id scan highschooler.name
861,join friend.student_id-highschooler.id join friend.friend_id-highschooler.id scan highschooler.name
862,join countries.continent-continents.contid join countries.country_id-car_makers.country scan continents.continent
863,join countries.continent-continents.contid join countries.country_id-car_makers.country join continents.continent-countries.country_name
864,join countries.continent-continents.contid join countries.country_id-car_makers.country scan continents.continent
865,join countries.continent-continents.contid join countries.country_id-car_makers.country scan continents.continent
866,join countries.continent-continents.contid join countries.country_id-car_makers.country scan continents.continent
867,join countries.continent-continents.contid join countries.country_id-car_makers.country scan continents.continent
868,join countries.continent-continents.contid join countries.country_id-car_makers.country scan continents.continent
869,scan owners
870,scan owners
871,scan dogs
872,scan cartoon order by original_air_date limit 1
873,scan cartoon order by original_air_date desc limit 1
874,scan cartoon order by original_air_date desc limit 1
875,scan cartoon order by original_air_date desc limit 1
876,scan singer
877,scan singer
878,scan singer
879,scan singer
880,scan singer
881,scan singer
882,scan singer
883,scan singer
884,scan singer
885,scan singer
886,scan singer
887,scan country
888,scan countrylanguage
889,scan country
890,scan country group by continent having avg ( lifeexpectancy )   <  72
891,scan country group by continent having avg ( lifeexpectancy )   <  72
892,scan country group by continent having avg ( lifeexpectancy )   <  72
893,scan country group by continent having avg ( lifeexpectancy )   <  72
894,scan owners
895,scan owners
896,scan owners
897,scan owners
898,scan paragraphs group by document_id order by count ( * )  asc limit 1
899,scan paragraphs group by document_id order by count ( * )  desc limit 1
900,scan paragraphs
901,scan paragraphs
902,scan owners
903,scan dogs
904,scan dogs
905,join owners.owner_id-dogs.owner_id
906,scan matches
907,scan matches
908,scan matches
909,scan cartoon
910,scan tv_channel
911,scan singer order by age limit 1
912,scan singer order by age desc limit 1
913,scan singer order by age limit 1
914,scan singer order by age desc limit 1
915,scan singer order by age desc limit 1
916,scan singer
917,join student.stuid-has_pet.stuid join pets.petid-has_pet.petid scan pets.pettype
918,join student.stuid-has_pet.stuid join pets.petid-has_pet.petid scan pets.pettype
919,join student.stuid-has_pet.stuid join pets.petid-has_pet.petid scan pets.pettype
920,join student.stuid-has_pet.stuid join pets.petid-has_pet.petid scan pets.pettype
921,scan owners
922,scan professionals
923,scan owners intersect select state
924,scan professionals
925,join professionals.professional_id-treatments.professional_id join treatments.treatment_type_code-treatment_types.treatment_type_code
926,join professionals.professional_id-treatments.professional_id join treatments.treatment_type_code-treatment_types.treatment_type_code
927,scan course
928,scan course
929,scan teacher
930,join course_arrange.course_id-course.course_id join course_arrange.teacher_id-teacher.teacher_id scan course.course
931,join continents.contid-countries.continent join countries.country_id-continents.continent
932,join continents.contid-countries.continent join countries.country_id-car_makers.country scan continents.continent
933,join continents.contid-countries.continent join countries.country_id-car_makers.country scan continents.continent
934,join continents.contid-countries.continent join countries.country_id-car_makers.country scan continents.continent
935,scan car_makers
936,scan professionals
